Sample ID,Source,Country,Lat,Long,Date,Note,Basin,Type,Class,Geothermal Field,Unit (milligram),Depth (m),Temperature,Density,pH,Alkalinity,(H)CO3,F_mg,Cl_mg,Br_mg,I_mg,SO4_mg,NO3_mg,PO4_mg,B_mg,Si_mg,As_mg,NH4_mg,Na_mg,K_mg,Li_mg,Ca_mg,Mg_mg,Al_mg,Fe_mg,Mn_mg,Zn_mg,Sr_mg,Ba_mg,Rb_mg,Cs_mg,TDS,d18O,d2H,d11B,d13C,87Sr/86Sr,d7Li,d18O (SO4),d34S (SO4),,Unit (mol),Alkalinity,Cl,Br,SO4,B,Si,Na,K,Li,Ca,Mg,NH4,% error,Na/Cl,Mg/Li
Cold spring at dacite dome (14),Godfrey et al. 2013,Argentina,-25.589848,-66.866816,,location approximate from digitized map,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,5,,,31.3,,,29.9,,,,,,,32.5,40.2,0.28,182.4,50.7,,,,,1.82,,,,367,-6.5,-48.9,,,,,,,,mmol/kg,4.96,0.882933709,,0.311263793,,,1.413719605,1.028396009,0.040340009,4.551125306,2.085990537,,41.81065556,1.6,181.1
PUN 1053???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,355.3,,,21.9,,,,33.3,,,192.5,9.1,2.6,25.3,9,,,,,,,,,649,,,,,,4.6,,,,mmol/kg,,10.022567,,0.227982511,,1.185547859,8.373569968,0.232796112,0.374585795,0.631269025,0.370294178,,2.355474273,0.84,3.5
PUN 1054???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,548.2,,,30.7,,,,44.3,,,313.5,8.1,5.3,19.3,4.3,,,,,,,,,974,,,,,,,,,,mmol/kg,,15.46403385,,0.319591922,,1.575969242,13.63695681,0.207214121,0.763578735,0.481560956,0.17691833,,-0.557355669,0.88,0.8
Galán 1???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,2166.7,,,41.5,,,,25.9,,,1484.6,63.3,18.3,12,0.7,,,,,,,,,3813,,,,,,3.3,,,,mmol/kg,,61.11988717,,0.432021653,,0.922489549,64.57871156,1.619339985,2.636507708,0.299416139,0.028800658,,5.709881537,1.06,0
Galán 2???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,509,,,26.3,,,,21.4,,,60.8,14.8,0.4,6.8,1,,,,,,,,,640,,,,,,2.9,,,,mmol/kg,,14.35825106,,0.273787216,,0.761797821,2.644743138,0.378613456,0.057628584,0.169669145,0.041143798,,-61.94558888,0.18,2.5
Galán 3???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,553.8,,,22.1,,,,25.8,,,78,11,0.8,9,3,,,,,,,,,703,,,,,,,,,,mmol/kg,,15.62200282,,0.230064543,,0.917728313,3.392927052,0.281401893,0.115257168,0.224562104,0.123431393,,-56.3823664,0.22,3.8
Galán 4???,Godfrey et al. 2013,Argentina,,,,,Salar del Hombre Muerto,Spring,Inflow,,mg/kg,,,,,,,,479,,,12.6,,,,22.2,,,22,1.2,0.1,7.8,1.4,,,,,,,,,546,,,,,,,,,,mmol/kg,,13.51198872,,0.13116802,,0.790365239,0.956979425,0.030698388,0.014407146,0.19462049,0.057601317,,-80.28214079,0.07,14
Antuco,Godfrey et al. 2013,Argentina,,,,,Unknown,Thermal Spring,Inflow,,mg/kg,,,,,,,,11231,,,1357,,,,20,,,5358,601.4,147.4,345,239,,,,,,,,,19299,,,,,,3,,,,mmol/kg,,316.8124118,,14.12658755,,0.710706389,233.067989,15.38500895,21.23613312,8.608213983,9.83336762,,-5.907160055,0.74,1.6
Diablo 1???,Godfrey et al. 2013,Argentina,,,,,Unknown,Thermal Spring,Inflow,,mg/kg,,,,,,,,8558,,,497.2,,,,3.8,,,4943,449.4,33.3,5,159,,,,,,,,,14649,,,,,,4.7,,,,mmol/kg,,241.4104372,,5.175931709,,0.13481784,215.0158772,11.49654643,4.797579599,0.124756724,6.541863814,,-1.434121045,0.89,4.8
Diablo 2???,Godfrey et al. 2013,Argentina,,,,,Unknown,Thermal Spring,Inflow,,mg/kg,,,,,,,,9051,,,522,,,,8.1,,,5237,439.6,33.3,6.3,164,,,,,,,,,15461,,,,,,,,,,mmol/kg,,255.3173484,,5.434103685,,0.287944274,227.8046022,11.24584293,4.797579599,0.157193473,6.747582802,,-1.627964162,0.89,4.9
Arizaro 1???,"Godfrey et al. 2013, Schmitt et al. 2002, Kasemann et al. 2004",Argentina,,,,,Salar de Arizaro,Brine,Terminal,,mg/kg,,,,7.4,,,,159268,,,4451,,,39,16.4,,,62401,5376,95.3,492,1239,,,,,,,,,233339,,,-6.6,,,18.4,,,,mmol/kg,,4492.750353,,46.33562357,,0.584210638,2714.385141,137.5287797,13.73001009,12.27606168,50.97716519,,-21.02614424,0.6,13
Arizaro 2???,"Godfrey et al. 2013, Schmitt et al. 2002, Kasemann et al. 2004",Argentina,,,,,Salar de Arizaro,Brine,Terminal,,mg/kg,,,,7.2,,,,159253,,,11927,,,22,15.6,,,50859,3535,99.8,418,1040,,,,,,,,,227147,,,-4.6,,,,,,,mmol/kg,,4492.327221,,124.1619821,,0.555915536,2212.318935,90.43233564,14.37833165,10.42966216,42.78954948,,-32.34243805,0.49,10.4
Aguas Calientes,"Godfrey et al. 2013, Schmitt et al. 2002, Kasemann et al. 2004",Chile,,,,,,Spring,Inflow,,mg/kg,,,,7.8,,,,9385,,,1970,,,23,40.6,,,5478,368.4,7,843,551,,,,,,,,,18643,,,2.9,,,,,,,mmol/kg,,264.7390691,,20.50801582,,1.444714626,238.2878768,9.424405219,1.008500216,21.03398373,22.67023246,,4.732023068,0.9,78.7
Luracatao???,Godfrey et al. 2013,Argentina,,,,,Unknown,Thermal Spring,Inflow,,mg/kg,,,,,,,,5827,,,186.6,,,,14.8,,,4179,186.2,27.7,6.4,83,,,,,,,,,10511,,,,,,10.3,,,,mmol/kg,,164.3723554,,1.942535915,,0.525956016,181.7825917,4.76336659,3.990779427,0.159688607,3.414935199,,8.041832981,1.11,3
El Tatio 1,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,7706,,,47.7,,,,62.7,,,4431,510.3,39.5,245,0.2,,,,,,,,,13042,,,,,,1.9,,,,mmol/kg,,217.3765867,,0.496564647,,2.231984232,192.744356,13.05448964,5.690822648,6.113079495,0.00822876,,1.212970931,0.89,0
El Tatio 2,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,7735,,,49.5,,,,67.8,,,4506,507.1,37.8,220,0.1,,,,,,,,,13123,,,,,,,,,,mmol/kg,,218.1946403,,0.515302936,,2.413405769,196.0067859,12.97262727,5.445901167,5.489295873,0.00411438,,1.391445895,0.9,0
El Tatio 3,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,7961,,,45.5,,,,75.6,,,4115,520.5,37.7,224,0.4,,,,,,,,,12980,,,,,,,,,,mmol/kg,,224.5698166,,0.473662294,,2.693027955,178.9986515,13.31542594,5.431494021,5.589101253,0.016457519,,-3.811610975,0.8,0
El Tatio 4,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,8147,,,34.9,,,,105,,,4934,576.1,47.5,287,0.4,,,,,,,,,14132,,,,,,,,,,mmol/kg,,229.8166432,,0.363314595,,3.738282315,214.6243856,14.7377846,6.843394324,7.16103598,0.016457519,,4.16069841,0.93,0
El Tatio 5,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,6251,,,62.4,,,,93.5,,,3352,152.9,25.2,233,0.2,,,,,,,,,10170,,,,,,,,,,mmol/kg,,176.3328632,,0.649594004,,3.330499961,145.8088651,3.911486314,3.630600778,5.813663356,0.00822876,,-3.68836157,0.83,0
El Tatio 6,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,6084,,,57.7,,,,91.3,,,4024,157.6,28.5,256,1,,,,,,,,,10700,,,,,,,,,,mmol/kg,,171.6220028,,0.60066625,,3.250607908,175.0402366,4.031721668,4.106036594,6.387544289,0.041143798,,6.292934217,1.02,0
El Tatio 7,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,5915,,,63.8,,,,85,,,3279,150.7,26.2,226,0.2,,,,,,,,,9746,,,,,,1.4,,,,mmol/kg,,166.854725,,0.664168228,,3.025911509,142.6334334,3.855205935,3.774672237,5.639003942,0.00822876,,-2.009239892,0.85,0
El Tatio 8,Godfrey et al. 2013,Chile,,,,,Unknown,Thermal Spring,Inflow,El Tatio,mg/kg,,,,,,,,3090,,,49.9,,,,65.1,,,1991,171.8,14.8,87.6,7,,,,,,,,,5477,,,,,,,,,,mmol/kg,,87.16502116,,0.519467,,2.318533956,86.60663796,4.39498593,2.1322576,2.185737811,0.288006583,,5.30230446,0.99,0.5
PG17-117,Muller et al. 2020,Bolivia,-21.651306,-67.840695,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,36.2,,6.41,,,,9855,5.8,,279,,,39,1523.5,,,5333,504,77,437,141,,,,,9.6,,,,16200,-11.4,-92.2,-4.4,,0.708384,5.2,,,,mmol/L,7.4,278,0.073,2.9,3.6,54.23501997,232,12.9,11.1,10.9,5.8,,-0.3,0.83,1.8
PG17-112,Muller et al. 2020,Bolivia,-21.638776,-67.852883,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,44.6,,5.99,,,,6133,3.7,,221,,,24,1326.5,,,3149,340,46,261,68,,,,,5.3,,,,10100,-12.4,-96.7,-5,,0.708412,5.6,,,,mmol/L,5.3,173,0.046,2.3,2.2,47.22187084,137,8.7,6.6,6.5,2.8,,-3.4,0.79,1.5
PG17-100,Muller et al. 2020,Bolivia,-21.619349,-67.848462,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,43.4,,6.9,,,,6984,5.5,,221,,,36,1523.5,,,3977,489,69,405,126,,,,,9.6,,,,11500,-11.8,-93.9,-4.9,,0.708398,3.8,,,,mmol/L,7.4,197,0.069,2.3,3.3,54.23501997,173,12.5,9.9,10.1,5.2,,3.9,0.88,1.8
PG1_1,Muller et al. 2020,Bolivia,-21.61934,-67.84842,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,42.2,,6.42,,,,9146,4.8,,279,,,35,2035.7,,,5058,524,53,457,131,,,,,9.6,,,,15100,-11.7,-93.8,-4.3,,0.708396,3.6,,,,mmol/L,7.4,258,0.06,2.9,3.2,72.46920772,220,13.4,7.7,11.4,5.4,,0.6,0.85,2.5
MV_1,Muller et al. 2020,Bolivia,-21.64865,-67.84866,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,45.7,,6.2,,,,10316,5.6,,403,,,51,1996.3,,,5770,649,67,513,146,,,,,13.1,,,,17000,-11.4,-92.5,-6.7,,0.708402,4,,,,mmol/L,8.9,291,0.07,4.2,4.7,71.0665779,251,16.6,9.6,12.8,6,,1,0.86,2.2
PGS_1,Muller et al. 2020,Bolivia,-21.61996,-67.85628,,,Laguna Pastos Grandes,Thermal Spring,Inflow,Pastos Grandes,mg/L,,32.4,,6.35,,,,904,0.5,,77,,,5,1326.5,,,545,70,6,28,10,,,,,0.9,,,,1490,-14.2,-104.2,-6,,0.708354,2.6,,,,mmol/L,1.8,25.5,0.006,0.8,0.5,47.22187084,23.7,1.8,0.8,0.7,0.4,,-0.7,0.93,1.8
PG12_99,Muller et al. 2020,Bolivia,-21.60764,-67.75753,,,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,17.3,,9.15,,,,26,0.5,,4,,,0,472.8,,,13,5,0,7,3,,,,,0.1,,,,40,-13.1,-99.4,,,0.70795,4,,,,mmol/L,0.9,0.73,0.006,0.04,0.04,16.83155792,0.57,0.14,0.02,0.17,0.13,,-12.7,0.78,22.8
SP_3,Muller et al. 2020,Bolivia,-21.69665,-67.8098,,,Laguna Pastos Grandes,Stream,Inflow,,mg/L,,16.4,,7.99,,,,54,0.5,,21,,,1,788,,,27,14,2,15,4,,,,,0.3,,,,90,-13.2,-104.7,0,,0.707646,10.9,,,,mmol/L,0.79,1.52,0.006,0.22,0.08,28.05259654,1.17,0.36,0.25,0.37,0.18,,2.2,0.77,2.5
LS_4,Muller et al. 2020,Bolivia,-21.69552,-67.80927,,,Laguna Pastos Grandes,Brine,Terminal,,mg/L,,24.5,,7.39,,,,155094,34,,3794,,,309,788,,,90209,5122,519,2393,1327,,,,,90.2,,,,256000,3.3,7.6,-7.2,,0.708327,3.9,,,,mmol/L,10.9,4375,0.426,39.5,28.6,28.05259654,3924,131,74.8,59.7,54.6,,-1.2,0.9,2.6
PEI19-WL-1*,Vignoni et al. 2024,Argentina,-26.491531,-68.099225,,,Laguna del Peinado,Lake,Terminal,,mg/L,,18.05,1.0313,8.03,,,,30597,,,1985,,,160,48.3,,,11038,484,117,2855,1097,,,,,99,,,,27680,6.3,3.5,-3.2,,,,,,,mmol/L,5.04,863.1,,20.66,14.76,1.72,480.16,12.39,16.8,71.24,45.12,,-10.1,0.56,9.4
PEI19-WL-2,Vignoni et al. 2024,Argentina,-26.495731,-68.099089,,,Laguna del Peinado,Lake,Terminal,,mg/L,,12.17,1.0336,7.57,,,,28558,,,1831,,,149,45.2,,,10361,447,108,2709,1029,,,,,93.8,,,,32250,5.4,-3.3,-3.2,,,,,,,mmol/L,4.82,805.58,,19.06,13.82,1.61,450.69,11.43,15.56,67.58,42.34,,-9.8,0.56,9.5
PEI21-WL-1,Vignoni et al. 2024,Argentina,-26.495833,-68.099222,,,Laguna del Peinado,Lake,Terminal,,mg/L,,12.89,1.0388,7.85,,,,32630,,,2087,,,178,55.6,,,12080,521,126,3176,1201,,,,,106,,,,34370,7.3,7.7,-3.7,,,,,,,mmol/L,4.6,920.46,,21.73,16.46,1.98,525.49,13.33,18.22,79.23,49.4,,-8.7,0.57,9.5
PEI21-WL-2,Vignoni et al. 2024,Argentina,-26.492028,-68.101417,,,Laguna del Peinado,Lake,Terminal,,mg/L,,19.48,,8.2,,,,32320,,,2132,,,175,55.3,,,12003,515,124,3132,1189,,,,,104.3,,,,32550,7.1,6.8,-3.8,,,,,,,mmol/L,4.9,911.72,,22.19,16.15,1.97,522.11,13.17,17.9,78.14,48.91,,-8.7,0.57,9.6
PEI21-WL-3,Vignoni et al. 2024,Argentina,-26.504639,-68.104389,,,Laguna del Peinado,Stream,Inflow,,mg/L,,22.87,1.0105,7.12,,,,11270,,,459,,,54,61.2,,,3733,111,47,1426,293,,,,,40.3,,,,12470,-6.2,-65.7,-3.8,,,,,,,mmol/L,4.6,317.91,,4.78,4.99,2.18,162.38,2.84,6.7,35.59,12.06,,-10.8,0.51,6.3
PEI21-WL-4,Vignoni et al. 2024,Argentina,-26.514611,-68.095917,,,Laguna del Peinado,Stream,Inflow,,mg/L,,34,0.99857,6.5,,,,2796,,,359,,,19,54.2,,,1217,76,12,210,188,,,,,8.8,,,,4310,-5.8,-53.2,-3.9,,,,,,,mmol/L,11.4,78.86,,3.74,1.79,1.93,52.93,1.95,1.7,5.24,7.75,,-8.4,0.67,16
PEI21-WL-5,Vignoni et al. 2024,Argentina,-26.502694,-68.093028,,,Laguna del Peinado,Lake,Terminal,,mg/L,,5.2,,8,,,,28676,,,1800,,,165,54.5,,,11180,482,118,2884,1121,,,,,97.3,,,,33900,6.4,3.7,-3.7,,,,,,,mmol/L,2.56,808.92,,18.74,15.26,1.94,486.33,12.34,16.97,71.95,46.14,,-6.1,0.6,9.5
PEI19-HTS1-1*,Vignoni et al. 2024,Argentina,-26.51526,-68.095823,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,36.38,0.99731,6.12,,,,2572,,,349,,,19,52,,,1183,75,11,92,178,,,,,7,,,,3720,-6.1,-53.8,-3.9,,,,,,,mmol/L,7.96,72.54,,3.63,1.75,1.85,51.45,1.92,1.61,2.3,7.32,,-8.4,0.71,15.9
PEI19-HTS1-3,Vignoni et al. 2024,Argentina,-26.515281,-68.095826,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,36.4,0.99754,6.93,,,,2640,,,353,,,18,51.7,,,1171,75,11,182,180,,,,,7.9,,,,4350,-5.8,-54.7,-3.7,,,,,,,mmol/L,12.16,74.48,,3.67,1.71,1.84,50.92,1.91,1.64,4.54,7.41,,-9.1,0.68,15.8
PEI21-HTS1-1,Vignoni et al. 2024,Argentina,-26.515269,-68.095817,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,36.4,0.99777,6.15,,,,2860,,,378,,,19,53.9,,,1150,72,11,196,181,,,,,7.9,,,,4170,-6,-53.8,-4.3,,,,,,,mmol/L,12.1,80.67,,3.93,1.73,1.92,50.04,1.84,1.6,4.9,7.46,,-12.5,0.62,16.3
PEI21-HTS1-Str-1,Vignoni et al. 2024,Argentina,-26.515222,-68.095944,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,35.65,0.99811,6.5,,,,3154,,,428,,,18,53.9,,,1151,72,11,197,181,,,,,7.9,,,,4180,-5.9,-53.6,-4,,,,,,,mmol/L,11.3,88.96,,4.46,1.71,1.92,50.07,1.85,1.62,4.91,7.45,,-16.5,0.56,16.1
PEI19-HTS3-1,Vignoni et al. 2024,Argentina,-26.496536,-68.104375,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,22.5,1.0077,6.25,,,,8986,,,358,,,42,53.7,,,2784,82,34,1146,216,,,,,33.3,,,,13400,-8.4,-76.8,-3.6,,,,,,,mmol/L,2.29,253.49,,3.73,3.92,1.91,121.09,2.09,4.88,28.6,8.87,,-12.9,0.48,6.4
PEI19-HTS4-1,Vignoni et al. 2024,Argentina,-26.496408,-68.104258,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,34,1.01278,6.46,,,,17170,,,960,,,79,52,,,5354,197,56,1693,480,,,,,53.4,,,,13180,-4.4,-55.4,-3.5,,,,,,,mmol/L,3.77,484.35,,9.99,7.34,1.85,232.89,5.04,8.08,42.24,19.73,,-15.7,0.48,8.6
PEI21-HTS5-1,Vignoni et al. 2024,Argentina,-26.500083,-68.105333,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,39.44,1.00296,5.13,,,,9179,,,402,,,45,58.7,,,2995,84,38,1187,219,,,,,33.3,,,,10480,-8.5,-76.1,-3.8,,,,,,,mmol/L,3,258.94,,4.18,4.16,2.09,130.29,2.16,5.5,29.61,8.99,,-11.4,0.5,5.7
PEI21-HTS6-1,Vignoni et al. 2024,Argentina,-26.500556,-68.10475,,,Laguna del Peinado,Thermal Spring,Inflow,,mg/L,,40.48,1.00245,5.06,,,,8938,,,364,,,45,58.7,,,2992,84,38,1186,219,,,,,33.3,,,,10470,-8.4,-75.5,-3.6,,,,,,,mmol/L,3,252.13,,3.79,4.18,2.09,130.15,2.15,5.5,29.58,8.99,,-10,0.52,5.7
PEI19-LTurquesa-1,Vignoni et al. 2024,Argentina,-26.477714,-68.097183,,,Laguna del Peinado,Lake,Terminal,,mg/L,,13.9,1.07681,7.48,,,,63767,,,2230,,,367,47.5,,,24730,1024,279,6073,2505,,,,,226.9,,,,52810,8.7,6.5,-3.2,,,,,,,mmol/L,9.36,1798.8,,23.21,33.93,1.69,1075.75,26.18,40.18,151.53,103.08,,-5.8,0.6,9
PEI21-LTurquesa-1,Vignoni et al. 2024,Argentina,-26.481778,-68.099222,,,Laguna del Peinado,Lake,Terminal,,mg/L,,12.8,,7.78,,,,69932,,,2152,,,407,60.1,,,27183,1088,303,6660,2761,,,,,241,,,,72190,6.2,-6.3,-3.6,,,,,,,mmol/L,7.12,1972.7,,22.4,37.68,2.14,1182.42,27.84,43.68,166.16,113.61,,-5.5,0.6,9.1
CA-0,"Risacher, 1992",Bolivia,-19.424414,-68.093909,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0,20,1.235,7.46,,,,184340,100,,28146,,,723,7,,,105175,9227,237,315,10864,,,,,,,,,341149,,,,,,,,,,mmol/L,29.80000001,5200,1.25,293,66.90000001,0.25,4575,236,34.2,7.85,447,,-0.5,0.88,45.8
CA-150,"Risacher, 1992",Bolivia,-19.424414,-68.093909,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,1.5,17,1.244,7.23,,,,171932,101,,53986,,,870,1.3,,,104025,10009,275,194,14073,,,,,,,,,357324,,,,,,,,,,mmol/L,27.9,4850,1.26,561.9999999,80.5,0.046,4525,256.0000001,39.6,4.85,579,,-0.1,0.93,51.2
CA-250,"Risacher, 1992",Bolivia,-19.424414,-68.093909,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,2.5,13,1.264,7.59,,,,132051,,,104513,,,644,1.4,,,110922,8328,212,164,10524,,,,,,,,,368917,,,,,,,,,,mmol/L,22.7,3725,,1088,59.59999999,0.05,4824.999999,213,30.6,4.1,433,,0.2,1.3,49.5
CB-0,"Risacher, 1992",Bolivia,-19.330287,-68.124846,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0,20,1.233,7.54,,,,187034,100,,29298,,,690,9.7,,,107543,9188,237,301,10719,,,,,,,,,347180,,,,,,,,,,mmol/L,29.4,5276,1.25,305,63.8,0.346,4678,235,34.2,7.5,441,,-0.6,0.89,45.2
CB-150,"Risacher, 1992",Bolivia,-19.330287,-68.124846,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,1.5,17,1.264,7.01,,,,167501,157,,80114,,,1346,2,,,94646,14271,416,102,22968,,,,,,,,,384778,,,,,,,,,,mmol/L,49.6,4725,1.96,834,124.5,0.07,4117,365,60,2.55,945,,-0.1,0.87,55.2
COI-1,"Risacher, 1992",Bolivia,-19.386491,-68.117472,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0.01,20.5,1.213,7.38,,,,188948,81,,14697,,,601,2.8,,,104370,7116,196,545,10208,,,,,,,,,328194,,,,,,,,,,mmol/L,18.4,5330,1.01,153,55.6,0.1,4540,182,28.19999999,13.6,420,,-0.3,0.85,52.2
COI-2,"Risacher, 1992",Bolivia,-19.428031,-67.954135,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0.02,18.5,1.218,7.18,,,,187885,137,,17579,,,952,4.8,,,99083,11612,333,521,15069,,,,,,,,,335499,,,,,,,,,,mmol/L,33.10000001,5300,1.71,183,88.1,0.17,4310,297,48.00000001,13,620,,1.9,0.81,45.2
COI-3,"Risacher, 1992",Bolivia,-19.467139,-68.192592,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0.03,18.5,1.221,7.23,,,,179023,78,,25936,,,614,1.8,,,108738,7311,205,319,10087,,,,,,,,,333747,,,,,,,,,,mmol/L,18.8,5050,0.976,270,56.8,0.063,4730,187.0000001,29.6,7.95,415,,1.6,0.94,49.1
COI-4,"Risacher, 1992",Bolivia,-19.290179,-68.09777,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0.04,8.5,1.217,7.38,,,,187176,100,,18059,,,640,5.3,,,107359,8563,230,513,10816,,,,,,,,,335373,,,,,,,,,,mmol/L,26.40000001,5280,1.25,187.9999999,59.2,0.190000001,4670,219,33.1,12.8,445,,1.3,0.88,47.1
COI-5,"Risacher, 1992",Bolivia,-19.248289,-68.099917,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0.05,9.5,1.211,7.52,,,,186113,72,,13929,,,428,7.3,,,110577,5982,154,737,6805,,,,,,,,,326264,,,,,,,,,,mmol/L,18.8,5250,0.901,145,39.6,0.26,4810,153,22.2,18.4,280,,0.2,0.92,44.2
142,"Rettig et al., 1980",Bolivia,-19.55093,-68.069311,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0,,1.247,6.97,,,,187050,276,,41525,,,1621,11.7,,,74321,22820,529,84,27185,,,,,22.4,,,,356644,,,,,,,,,,mmol/L,,5276,3.45,432,150,0.42,3233,584,76,2,1118,,-0.1,0.61,51.4
143,"Rettig et al., 1980",Bolivia,-19.523568,-68.107824,,location approximate from digitized map,Salar de Coipasa,Brine,Terminal,,mg/L,0,,1.224,7.37,,,,184824,108,,24602,,,608,2.8,,,102204,8739,307,236,11004,,,,,17.1,,,,333509,,,,,,,,,,mmol/L,,5214,1.35,256,56,0.1,4446,224,44,6,453,,-0.8,0.85,35.8
144,"Rettig et al., 1980, Ericksen and Salas, 1987",Bolivia,-19.495657,-68.146941,,"location approximate from digitized map, alk estimated from HCO3 concentration",Salar de Coipasa,Brine,Terminal,,mg/L,0,,1.223,7.34,,785,,185896,142,,25072,,,686,3.2,,,100408,9075,338,253,12120,,,,,22,,,,334828,,,,,,,,,,mmol/L,12.9,5244,1.78,261,63,0.11,4368,232,49,6,499,,-1,0.83,35.9
SE-134sp,"Ericksen et al., 1978",Bolivia,-20.335775,-68.562979,,location approximate from digitized map,Salar de Empexa,Spring,Inflow,,mg/kg,,,,,,,,3400,,,,,,,,,,9600,160,6,590,200,,,,,,,,,,,,,,,,,,,mmol/L,,95.91,0,0,0,0,417.59,4.09,0.86,14.72,8.23,,66,4.35,33.3
136sp,"Ericksen et al., 1978",Bolivia,-20.485662,-68.598163,,location approximate from digitized map,Salar de Empexa,Spring,Inflow,,mg/kg,,,,,,,,3200,,,,,,,,,,1800,100,6,230,210,,,,,,,,,,,,,,,,,,,mmol/L,,90.27,0,0,0,0,78.3,2.56,0.86,5.74,8.64,,10.1,0.87,35
137sp,"Ericksen et al., 1978",Bolivia,-20.52361,-68.542721,,location approximate from digitized map,Salar de Empexa,Spring,Inflow,,mg/kg,,,,,,,,1600,,,,,,,,,,600,90,4,350,140,,,,,,,,,,,,,,,,,,,mmol/L,,45.13,0,0,0,0,26.1,2.3,0.58,8.73,5.76,,12.4,0.58,35
138sw,"Ericksen et al., 1978",Bolivia,-20.510629,-68.508603,,location approximate from digitized map,Salar de Empexa,Stream,Inflow,,mg/kg,,,,,,,,16000,,,,,,,,,,3000,400,30,980,460,,,,,,,,,,,,,,,,,,,mmol/L,,451.34,0,0,0,0,130.5,10.23,4.32,24.45,18.93,,-32.1,0.29,15.3
SE135,"Scandiffio & Cassis, 1990, Ericksen et al., 1978",Bolivia,-20.442709,-68.605626,,"location approximate from digitized map, no density reported however Scandiffio and Cassis report in mg/L and Erickson reports in mg/kg so a density estimate was made using the Cl concetrations from both reports of the same sample",Salar de Empexa,Brine,Terminal,,mg/L,,20,1.11,7,,,,131000,,,13400,,,0,,,,60000,9200,190,420,3000,,,,,,,,,234510,,,,,,,,,,mmol/L,,3695.345557,,139.4961482,,,2609.943886,235.3043483,27.37357729,10.47956485,123.4313927,0,-11.7,0.71,15.8
SE140,"Scandiffio & Cassis, 1990, Ericksen et al., 1978",Bolivia,-20.393749,-68.586435,,"location approximate from digitized map, no density reported however Scandiffio and Cassis report in mg/L and Erickson reports in mg/kg so a density estimate was made using the Cl concetrations from both reports of the same sample",Salar de Empexa,Brine,Terminal,,mg/L,,20,1.2,7,,,,200000,,,16300,,,0,,,,90000,6100,260,580,10000,,,,,,,,,344040,,,,,,,,,,mmol/L,,5641.748942,,169.6856132,,,3914.915829,156.0170135,37.45857946,14.47178003,411.4379757,0,-9.3,0.69,38.5
